_id,id,geom,type,reported_location,locality,state,direction_of_travel,paved,toilet,lighting,shelter,water,bin,Table_or_Chair,comments,road_name,name,bbq,shade,power,disabled_toilet,off_the_road,waste_water,covered_table_or_Chair,BBQ
28681,45,"{""type"":""Point"",""coordinates"":[147.2628054,-42.41233999]}",Formal,,Springhill,TAS,Southbound,,N,,,,N,N,,Midland Highway,,N,,,,,,,
28682,46,"{""type"":""Point"",""coordinates"":[147.3124579,-42.95845733]}",Formal,,Near Kingston,TAS,Southbound,,N,,,,N,N,,Southern Outlet Hwy,,N,,,,,,,
28683,273,"{""type"":""Point"",""coordinates"":[146.9866988,-42.74693352]}",Formal,,Hayes Weighbridge,TAS,Northbound,,N,,,,N,N,,Lyell Highway,,N,,,,,,,
28684,485,"{""type"":""Point"",""coordinates"":[146.8843416,-42.59512592]}",Formal,,Meadowbank Dam TO,TAS,Northbound,,N,,,,N,N,,Lyell Highway,,N,,,,,,,
28685,499,"{""type"":""Point"",""coordinates"":[146.7044143,-42.47640401]}",Formal,,Ouse,TAS,Southbound,,N,,,,N,N,,Lyell Highway,,N,,,,,,,
28686,512,"{""type"":""Point"",""coordinates"":[146.5015759,-42.17998448]}",Formal,,Bronte Canal,TAS,Westbound,,N,,,,N,N,,Lyell Highway,,N,,,,,,,
28687,527,"{""type"":""Point"",""coordinates"":[146.2864008,-42.11499912]}",Formal,,Broken Leg,TAS,Eastbound,,N,,,,N,N,,Lyell Highway,,N,,,,,,,
28688,542,"{""type"":""Point"",""coordinates"":[146.237849,-42.12810706]}",Formal,,Derwent Bridge,TAS,Westbound,,N,,,,N,N,,Lyell Highway,,N,,,,,,,
28689,557,"{""type"":""Point"",""coordinates"":[146.612831,-41.49380404]}",Formal,,Christmas Hills,TAS,Northbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28690,573,"{""type"":""Point"",""coordinates"":[146.5285142,-41.38816584]}",Formal,,Paramatta Creek,TAS,Northbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28691,587,"{""type"":""Point"",""coordinates"":[146.2146323,-41.15861236]}",Formal,,Ulverstone Weighbridge,TAS,Southbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28692,619,"{""type"":""Point"",""coordinates"":[147.2615569,-42.40706348]}",Formal,,Springhill,TAS,Northbound,,N,,,,N,N,,Midland Highway,,N,,,,,,,
28693,620,"{""type"":""Point"",""coordinates"":[146.1906399,-41.16631433]}",Formal,,Castra Road Overpass,TAS,Northbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28694,809,"{""type"":""Point"",""coordinates"":[146.0087894,-41.08756037]}",Formal,,Howth Weighbridge,TAS,Northbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28695,824,"{""type"":""Point"",""coordinates"":[145.7846892,-41.01481358]}",Formal,,Doctors Rocks,TAS,East Bound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28696,841,"{""type"":""Point"",""coordinates"":[145.7743201,-41.01042681]}",Formal,,Wynyard Bypass,TAS,Westbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28697,856,"{""type"":""Point"",""coordinates"":[145.7569188,-41.00365996]}",Formal,,Wynyard Bypass,TAS,Eastbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28698,869,"{""type"":""Point"",""coordinates"":[145.5359183,-40.95619393]}",Formal,,Sisters Hills,TAS,Eastbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28699,885,"{""type"":""Point"",""coordinates"":[145.5337896,-40.9553929]}",Formal,,Sisters Hills,TAS,Westbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28700,898,"{""type"":""Point"",""coordinates"":[145.2877736,-40.84037045]}",Formal,,East of Stanley,TAS,Eastbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28701,911,"{""type"":""Point"",""coordinates"":[145.1821659,-40.84956346]}",Formal,,West of Stanley,TAS,Westbound,,N,,,,N,N,,Bass Highway,,N,,,,,,,
28702,925,"{""type"":""Point"",""coordinates"":[146.9642453,-41.18972275]}",Formal,,Fourteen Mile Creek,TAS,Northbound,,N,,,,N,N,,East Tamar Highway,,N,,,,,,,
28703,954,"{""type"":""Point"",""coordinates"":[147.3905613,-42.27906182]}",Formal,,St Peter's Pass,TAS,Northbound,,N,,,,N,N,,Midland Highway,,N,,,,,,,
28704,955,"{""type"":""Point"",""coordinates"":[145.6189722,-41.74585898]}",Formal,,Tullah,TAS,Southbound,,N,,,,N,N,,Murchison Highway,,N,,,,,,,
28705,1083,"{""type"":""Point"",""coordinates"":[146.6669753,-41.27032041]}",Formal,,Saxon Creek,TAS,Eastbound,,N,,,,N,N,,Frankford Main Rd,,N,,,,,,,
28706,1096,"{""type"":""Point"",""coordinates"":[147.4033681,-41.01909158]}",Formal,,Bridport Turn Off,TAS,Westbound,,N,,,,N,N,,Bridport Main Rd,,N,,,,,,,
28707,1111,"{""type"":""Point"",""coordinates"":[147.396123,-41.01884264]}",Formal,,Bridport Turn Off,TAS,Eastbound,,N,,,,N,N,,Bridport Main Rd,,N,,,,,,,
28708,1125,"{""type"":""Point"",""coordinates"":[146.853395,-41.81495864]}",Formal,,Top of decline,TAS,Eastbound,,N,,,,N,N,,Poatina Main Rd,,N,,,,,,,
